epoch;autoencoder_output_loss;loss;val_autoencoder_output_loss;val_loss
0;0.37981457;866.5632733142681;0.31721383333206177;684.1463091978886
1;0.3117547;503.1720173147928;0.3049466907978058;321.05916328041866
2;0.36780846;142.99414844061482;0.5327093005180359;2.1419981437678293
3;0.4968632;1.8081907871500889;0.4713287055492401;1.65263323497798
4;0.46498257;1.6041109473070605;0.45249202847480774;1.5449084487651643
5;0.45081022;1.5239149257519728;0.4416358768939972;1.4834113429875087
6;0.44145998;1.473027382981638;0.4336041510105133;1.440345214364894
7;0.4337923;1.4352403174342587;0.42664864659309387;1.4081107547568605
8;0.42689955;1.4044100486902127;0.4191851317882538;1.3789366423659535
9;0.4199646;1.3762056669578462;0.4127313494682312;1.3519752698163279
10;0.41414386;1.3514360172537792;0.40847155451774597;1.329492369897408
11;0.4090666;1.3301760118676977;0.40308916568756104;1.308672237875182
12;0.40399843;1.3106112550891529;0.39723512530326843;1.2892764979531641
13;0.39841542;1.2908804261065732;0.392314612865448;1.270333738565853
14;0.39310157;1.272346511730351;0.38648566603660583;1.2526600956326186
15;0.38759878;1.2536960646444852;0.382102370262146;1.2342034040748637
16;0.38262728;1.2361262734123941;0.37683430314064026;1.2174856542477832
17;0.37790787;1.2196605363650252;0.3722230792045593;1.2010233468294638
18;0.37335712;1.2038000169555232;0.36782723665237427;1.1872375116682452
19;0.3691897;1.189242028758635;0.3638228476047516;1.172622974461644
20;0.3654533;1.1763735497722831;0.3606591820716858;1.1611244533418719
21;0.3614469;1.163224109981077;0.35680168867111206;1.1486730582112075
22;0.3576045;1.151183212935164;0.3525190055370331;1.1361064251538129
23;0.35394832;1.1391590734505201;0.34945443272590637;1.1251748845702023
24;0.3508347;1.1284456747503115;0.3464348614215851;1.1165708981916804
25;0.34795585;1.1190663195209953;0.3434286117553711;1.1051291473362213
26;0.3449071;1.109786818335483;0.34047672152519226;1.0960733267049856
27;0.341945;1.1005638262755386;0.3374454081058502;1.0870958420513193
28;0.3392934;1.092075466498915;0.335752934217453;1.0799924138859256
29;0.33692402;1.084400127064178;0.3321715295314789;1.071811028863168
30;0.33446947;1.076832247456667;0.33095166087150574;1.0660176015031217
31;0.33210552;1.0695674106691284;0.32816049456596375;1.0591271673921057
32;0.32990924;1.0627465851275477;0.32621121406555176;1.0514202254300247
33;0.32767487;1.0560719130448817;0.3236047029495239;1.0457127831259478
34;0.32548493;1.0496797799092232;0.3223544657230377;1.0393600662853597
35;0.32306674;1.0426147689292549;0.32016846537590027;1.0339900204194858
36;0.32075062;1.0358797137312048;0.3174973428249359;1.0274864474767693
37;0.31867784;1.0300118982773778;0.3154364228248596;1.0189734586519483
38;0.31611848;1.0226009230463526;0.3132582902908325;1.0160914383786357
39;0.31393597;1.016087489250964;0.31022441387176514;1.0070318792459287
40;0.31191537;1.0098086552325316;0.3087763488292694;1.0008869625761556
41;0.31024542;1.0041944325780348;0.30882179737091064;0.9974002605536512
42;0.30865884;0.9988404522808539;0.3054389953613281;0.9891417016855027
43;0.30728397;0.9939778865404548;0.3042069673538208;0.9856278220819639
